raw_wind,normal_val
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
0,-8.29236
5.04156,0.118673
5.53446,0.319848
4.5792,-0.0750163
4.56405,-0.08146
4.31675,-0.187586
4.80614,0.020728
4.80278,0.0193224
4.91254,0.0651592
4.81801,0.0256997
5.01945,0.109532
5.51951,0.313815
5.77454,0.416198
6.18808,0.580057
5.7853,0.420496
6.03226,0.518605
6.03226,0.518605
6.03277,0.518809
4.86305,0.0445298
4.41438,-0.145465
4.42411,-0.141281
4.42451,-0.14111
4.42451,-0.14111
4.42531,-0.140767
4.42531,-0.140767
4.42531,-0.140767
4.42611,-0.140424
4.42651,-0.140252
4.42651,-0.140252
4.42691,-0.14008
4.42731,-0.139908
4.42731,-0.139908
4.42731,-0.139908
4.42731,-0.139908
4.42691,-0.14008
4.42691,-0.14008
4.42691,-0.14008
4.42611,-0.140424
4.42531,-0.140767
4.42491,-0.140938
4.42411,-0.141281
4.42332,-0.141623
4.42332,-0.141623
4.42332,-0.141623
4.42133,-0.142478
4.42053,-0.142819
4.42053,-0.142819
4.41934,-0.14333
4.41934,-0.14333
4.41934,-0.14333
4.41855,-0.143671
4.41855,-0.143671
4.41855,-0.143671
4.41895,-0.1435
4.41895,-0.1435
4.41934,-0.14333
4.41974,-0.14316
4.42014,-0.14299
4.42014,-0.14299
4.42053,-0.142819
4.42053,-0.142819
4.42133,-0.142478
4.42133,-0.142478
4.42133,-0.142478
3.66877,-0.475918
2.97574,-0.806808
4.1401,-0.264602
4.68223,-0.0313778
5.24044,0.200436
4.81178,0.0230927
6.30611,0.626388
6.1012,0.545836
5.53049,0.318248
5.68859,0.381815
6.56078,0.725775
6.76222,0.803865
6.09093,0.541783
6.75171,0.799802
6.76259,0.804008
5.96054,0.490208
5.46392,0.291349
6.06364,0.531008
6.16889,0.572507
6.10996,0.549292
5.86578,0.45257
5.27972,0.216486
4.92967,0.0722864
4.59814,-0.0669707
4.56268,-0.0820436
5.37665,0.255963
6.14991,0.565036
6.10255,0.546368
7.59396,1.12223
6.4223,0.671829
6.21868,0.592087
6.21375,0.590149
6.97761,0.886901
6.61701,0.747615
6.47499,0.69238
5.87116,0.45471
4.85082,0.0394216
5.75219,0.40727
5.85996,0.450252
5.96455,0.491799
5.96476,0.491882
5.96476,0.491882
5.65526,0.36845
6.05863,0.529029
6.31424,0.629575
5.84493,0.44427
5.38338,0.258695
5.48799,0.301083
5.12339,0.152421
5.01693,0.108489
4.81765,0.0255488
5.54526,0.324204
6.15125,0.565562
5.42397,0.27517
5.83082,0.438651
6.59893,0.740599
6.64515,0.758534
6.19809,0.583994
6.19809,0.583994
6.1947,0.582661
6.39326,0.660486
6.39178,0.659909
6.55299,0.722745
6.60512,0.743003
6.15301,0.566255
6.11286,0.550433
5.38277,0.258447
5.07388,0.132021
5.32792,0.23614
5.43355,0.279049
5.73279,0.399515
5.5727,0.335262
6.23585,0.598832
6.40507,0.6651
6.5521,0.722401
6.55596,0.723902
7.27122,0.999395
7.01537,0.901413
6.23372,0.597995
6.43798,0.677948
5.67727,0.377278
5.92686,0.476844
5.7593,0.410112
