W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.133579,0.028493,0.097985,0.018493,0.059178,1.129054,0.616601
0.00,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.122833,0.025801,0.088487,0.016603,0.060709,1.101745,0.643416
0.00,0.75,75.00,ergo_adaptive,0.842995,0.012727,0.840754,0.786364,0.894218,0.124378,0.030530,0.090000,0.015714,0.045693,1.037091,0.684633
0.00,0.75,75.00,bb_ipp,0.856301,0.017471,0.849881,0.798816,0.920999,0.129181,0.029448,0.099795,0.016272,0.065217,0.913128,0.739705
0.50,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.103318,0.053961,0.090556,0.031182,-0.440822,1.129054,0.584926
0.50,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.095604,0.054809,0.081910,0.030021,-0.439291,1.101745,0.597045
0.50,0.75,75.00,ergo_adaptive,0.836624,0.015072,0.819654,0.771072,0.871768,0.096439,0.054267,0.083891,0.029008,-0.264514,1.020317,0.674227
0.50,0.75,75.00,bb_ipp,0.861091,0.015900,0.829925,0.797717,0.894873,0.097356,0.055934,0.092249,0.029721,-0.217755,0.942916,0.715583
1.00,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.055015,0.062076,0.069420,0.043266,-0.940822,1.129054,0.480869
1.00,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.050811,0.046633,0.062518,0.042963,-0.939291,1.101745,0.472468
1.00,0.75,75.00,ergo_adaptive,0.849750,0.017105,0.834967,0.794184,0.891042,0.048350,0.056022,0.067558,0.045233,-0.624151,1.059757,0.594453
1.00,0.75,75.00,bb_ipp,0.872941,0.019838,0.836487,0.813549,0.893482,0.043868,0.049908,0.072686,0.046748,-0.645523,1.059690,0.589863
1.50,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.019800,0.019884,0.044124,0.042367,-1.440822,1.129054,0.339651
1.50,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.019496,0.020431,0.039339,0.035821,-1.439291,1.101745,0.319363
1.50,0.75,75.00,ergo_adaptive,0.856173,0.014682,0.847777,0.808956,0.883687,0.016927,0.011467,0.044617,0.039321,-1.082154,1.176938,0.450266
1.50,0.75,75.00,bb_ipp,0.876465,0.018581,0.862945,0.812178,0.901148,0.015424,0.013220,0.045771,0.044277,-1.106993,1.183312,0.452002
